SalesKey,Date,ProductKey,RegionKey,CustomerKey,Revenue,Cost,UnitsSold
1,2023-02-10,1,1,38,594,336.78,22
2,2023-02-17,1,1,17,1386,706.22,42
3,2023-01-06,2,2,39,1443,732.99,37
4,2023-01-13,4,2,18,1254,731.66,33
5,2023-02-25,1,2,47,1617,973.56,49
6,2023-01-10,2,3,31,242,148.58,11
7,2023-01-23,3,3,13,301,191.99,7
8,2023-01-08,4,1,27,1160,868.63,40
9,2023-02-09,3,2,14,1100,565.12,50
10,2023-01-15,3,1,22,893,473.56,19
11,2023-01-18,4,3,6,465,282.06,15
12,2023-02-12,3,1,39,1720,948.31,43
13,2023-02-16,2,2,1,1088,632.11,34
14,2023-03-01,2,3,1,216,161.25,8
15,2023-02-21,3,4,3,484,272.63,22
16,2023-03-02,3,2,6,1610,996.09,46
17,2023-02-28,4,2,3,504,289.29,21
18,2023-02-05,3,4,16,1344,817.96,42
19,2023-01-09,4,1,49,376,200.37,8
20,2023-02-10,2,4,23,946,582.2,43
21,2023-02-11,5,1,25,0,800,500
22,2023-02-18,6,2,49,10,600,600
23,2023-01-10,7,4,34,5,1200,700
